text,U,P,C,category,S,cooked_level,source
"I'm really getting sick ugh Fuckin nursing homes! Laying in bed, might go run later, watch some more movies with Austin. Sara &amp; Sami left",,,,General,,4,tweet_emotions
no eggs today ... shame was looking forward to a egg and bacon sandwich,,,,General,,3,tweet_emotions
goin to watch some friends DVD's,,,,General,,0,tweet_emotions
I have had the William Shatner version of Rocket Man in my head for 3 days now. It's fucking distracting,,,,General,,4,tweet_emotions
@Ainz90 anyday! I hate living here!,,,,General,,4,tweet_emotions
"flu or allergy??? ... Doesn't matter, just try to squeeze my Sundayyyy",,,,General,,0,tweet_emotions
Room is so empty,,,,General,,3,tweet_emotions
@CuteRain following 865 and followers 539...not nice,,,,General,,3,tweet_emotions
We committed treason.,5.0,5.0,5.0,General,15.0,5,synthetic
@stargirlreads i cantttt.  my grandparents are here.,,,,General,,3,tweet_emotions
@KourtneyKardash i hate this weather! When u have lived here ure whole life u get used to it...may is always rainy  @RobKardashian,,,,General,,4,tweet_emotions
Had a great day with the moms and sis  really makes ya appreciate those days,,,,General,,0,tweet_emotions
My friend was arrested for embezzlement.,5.0,5.0,5.0,Financial,15.0,5,synthetic
"@renay Poor kitties  If there's nothing that can be done, hopefully you'll at least be able to find her a good home",,,,General,,1,tweet_emotions
I miss my daily quotes! Why don't i get them anymore? @sschabowski am I kicked from your mailinglist?,,,,General,,2,tweet_emotions
New York from 1500ft looks rather good. Last night in the Big Apple.,,,,General,,0,tweet_emotions
Brownie sundaes at Five and Dumpster. Blood Bros on iTunes. Palm Reader was closed  Fun at the 371 anyway.,,,,General,,1,tweet_emotions
@Gustavar Having an awesome day? You should... I expect as much out of you  #awesomeupdater,,,,General,,0,tweet_emotions
So bored  waiting for class to start. Sigh midterms next week &gt;_&lt;,,,,General,,2,tweet_emotions
http://twitpic.com/67fcj - what i have to resort to wearing today cause i haven't finished my laundry. lol.,,,,General,,2,tweet_emotions
@trellthms what r u doing tonight bro?I wanna go out,,,,General,,3,tweet_emotions
I have to start eating healthy,,,,General,,1,tweet_emotions
@grasuth is that it's welsh name?,,,,General,,1,tweet_emotions
My friend just relaxing at home.,1.0,1.0,1.0,General,3.0,0,synthetic
We got fired today.,5.0,4.0,5.0,Career,14.0,4,synthetic
hand hurts,,,,General,,2,tweet_emotions
My friend totaled my car without insurance.,5.0,4.0,5.0,Financial,14.0,4,synthetic
They raised the prices at work which means people are tipping less. Yay,,,,General,,2,tweet_emotions
Watching TV Patrol for more Manny news,,,,General,,1,tweet_emotions
@YatPundit oooh OK. thought I was losing my MizMind,,,,General,,0,tweet_emotions
"off to work now, finish about 9pm  booooo.",,,,General,,3,tweet_emotions
I just relaxing at home.,1.0,1.0,1.0,General,3.0,0,synthetic
@c0oki3 u think u have bills Ha!Ii just finished paying mine that's y I'm broke,,,,General,,4,tweet_emotions
My friend deleted the entire codebase.,5.0,5.0,5.0,Coding,15.0,5,synthetic
My team ruined the company.,5.0,5.0,5.0,Career,15.0,5,synthetic
We lost my passport in a foreign country.,5.0,4.0,5.0,General,14.0,4,synthetic
@elizabethlai Just study according to the notes that you had to copy and you'll be fine.,,,,General,,1,tweet_emotions
@2indya anytime,,,,General,,2,tweet_emotions
We am 50k in credit card debt.,5.0,4.0,5.0,Financial,14.0,4,synthetic
